state,D_19,C_19,P_19,MP_19,D_18,C_18,P_18,MP_18,D_17,C_17,P_17,MP_17
Alabama,273,74.2,15.1,12.0,279,71.7,14.0,11.5,303,70.5,14.0,11.4
Alaska,56,104.7,23.5,20.4,54,99.6,23.9,20.9,55,90.9,22.9,19.8
Arizona,260,93.7,18.5,15.9,260,87.6,17.9,15.2,256,82.9,17.9,15.5
Arkansas,205,53.5,13.7,11.7,213,53.6,13.9,11.9,212,51.0,13.3,11.5
California,1010,141.6,24.6,21.2,1037,136.7,23.8,20.7,1033,132.4,23.5,20.6
Colorado,181,112.5,18.6,15.8,187,104.0,18.1,15.2,189,96.4,17.7,15.0
Connecticut,196,69.0,21.9,18.1,206,64.9,20.7,17.2,216,62.9,20.4,17.0
Delaware,97,52.7,18.3,15.1,99,51.4,18.3,15.2,101,49.1,17.9,14.5
District of Columbia,74,105.7,24.7,18.3,75,98.6,24.1,18.1,79,90.7,23.1,17.6
Florida,974,104.2,16.0,13.6,1008,97.9,15.6,13.1,1017,94.1,15.3,12.9
Georgia,400,78.9,18.2,14.7,408,71.3,16.5,13.8,408,68.6,16.1,13.5
Hawaii,68,70.1,25.6,19.6,66,64.6,24.5,18.5,70,60.3,23.5,18.5
Idaho,90,58.8,16.1,13.7,90,56.8,15.2,13.3,92,51.3,14.5,12.5
Illinois,604,78.3,19.1,15.5,626,75.5,18.8,14.8,618,72.9,18.3,14.8
Indiana,355,75.4,17.6,15.4,364,69.7,15.9,13.8,372,67.8,15.9,13.7
Iowa,177,59.5,16.2,14.0,180,56.4,15.7,13.5,189,52.5,15.2,13.3
Kansas,186,78.4,15.8,13.4,185,75.7,15.5,13.1,184,69.7,14.5,12.4
Kentucky,279,69.1,16.3,13.8,290,66.9,15.9,13.3,300,65.4,15.9,13.5
Louisiana,240,71.4,17.1,14.3,250,67.1,16.0,13.3,250,65.0,15.5,12.8
Maine,100,51.3,17.3,14.6,100,48.1,16.8,14.1,105,44.9,16.6,13.9
Maryland,328,29.1,26.8,24.8,345,27.1,25.0,23.2,351,26.2,24.3,22.4
Massachusetts,410,57.7,22.3,19.9,412,55.5,21.2,18.8,408,52.3,20.8,18.4
Michigan,484,55.9,18.1,15.2,505,52.4,17.4,14.6,536,50.8,17.2,14.8
Minnesota,252,61.9,20.8,17.4,286,56.3,20.0,16.7,272,55.1,19.8,16.6
Mississippi,224,65.6,14.6,12.7,228,62.6,13.7,11.9,234,61.7,13.4,11.7
Missouri,340,69.1,16.6,14.5,358,65.1,15.7,13.9,355,60.9,15.2,13.4
Montana,86,46.2,15.7,14.1,84,44.3,15.1,13.4,84,43.2,15.0,13.5
Nebraska,128,63.8,16.9,14.6,131,60.9,16.6,14.3,129,57.5,16.2,13.8
Nevada,151,126.8,17.6,15.0,155,118.8,17.1,14.7,151,111.2,16.5,14.1
New Hampshire,111,62.4,18.4,16.3,113,57.8,17.5,15.6,118,54.5,16.9,14.9
New Jersey,429,111.7,19.7,16.4,458,107.3,19.1,16.2,472,103.1,18.4,15.7
New Mexico,105,63.3,17.1,14.5,103,61.4,16.8,14.5,106,56.1,16.3,14.2
New York,758,92.6,23.1,19.5,764,86.2,22.7,19.1,762,81.4,22.5,19.1
North Carolina,463,64.1,18.3,15.0,477,61.4,17.6,14.3,484,57.1,17.0,13.7
North Dakota,83,47.7,16.4,14.3,83,46.0,15.8,13.7,81,42.4,15.1,13.0
Ohio,520,67.8,17.5,13.9,550,65.2,16.7,13.6,563,64.0,16.4,13.5
Oklahoma,246,77.4,16.1,13.6,248,75.5,15.6,13.2,243,71.6,15.4,13.1
Oregon,143,62.3,21.0,17.8,148,58.8,20.2,17.0,148,57.6,20.4,17.4
Pennsylvania,592,102.3,19.3,15.3,611,97.8,18.8,14.9,608,94.4,18.4,14.6
Rhode Island,82,48.6,16.6,14.3,83,47.5,17.0,14.8,86,46.3,16.6,14.4
South Carolina,269,81.8,17.2,14.0,275,78.4,16.8,13.7,279,74.3,16.0,13.2
South Dakota,92,66.8,17.0,14.6,92,61.0,15.8,13.8,94,58.8,15.8,13.6
Tennessee,362,70.6,15.9,12.9,370,66.8,15.0,12.5,378,64.4,14.7,12.4
Texas,895,97.9,18.0,14.7,928,90.9,16.7,13.7,939,86.0,16.2,13.2
Utah,107,60.7,19.3,16.1,106,56.7,18.2,15.1,107,55.7,18.1,14.8
Vermont,66,40.6,13.4,11.2,67,36.9,13.7,11.7,67,37.1,17.0,14.6
Virginia,431,77.2,18.2,14.3,433,75.1,18.0,14.1,424,70.3,17.4,13.7
Washington,268,81.8,20.4,16.8,274,79.0,20.0,16.3,275,75.7,20.0,16.3
West Virginia,164,55.4,16.1,13.2,162,52.0,15.5,12.7,158,48.0,15.0,12.3
Wisconsin,234,67.3,19.1,15.2,249,63.6,18.6,14.7,247,59.7,17.9,14.6
Wyoming,60,45.8,17.8,15.4,61,45.0,16.4,14.2,58,40.7,15.2,13.1
